SWP_No,Accused_or_Topic,Date,Legal_Proceeding,Trial_Text,word_count,char_count
SWP No. 22.3,"George Burroughs Executed, August 19, 1692","April 30, 1692",Warrant,"(Warrant for Apprehension of George Burroughs , and Officer's Return) [April 30, 1692 ] To Jno Partredg field Marshal You are Required in their Maj'sts names to aprehend the body of mr George Buroughs at present preacher at Wells in the provence of Maine, & Convay him with all Speed to Salem before the Magestrates there, to be Examened, he being Suspected for a Confederacy with the devil in opressing of Sundry about Salem as they relate. I having Receved perticuler Order from the Govern'r & Council of their Maj'sts Colony of the Masathusets, for the Same, you may not  faile herein, Dated in portsmouth in the provenc of Hamshire. Aprel.30'th 1692 *Elisha Hutchinson Maj'r By Virtue of this warrant I Apprehended s'd George Burroughs and have Brought him to Salem and Delievered him to the Authority  there this fourth day of May 1692 *John Partridge feild marshall of the  Provence of newhansher and maine (Reverse) Warrant agt Burroughs the Marchalls Returne ( Witchcraft Papers, no. 1, Massachusetts Historical Society, Boston, MA.. )",173,1043
SWP No. 38.12,"Martha Corey Executed, September 22, 1692","September 8, 1692",Deposition,"( Deposition of Edward Putnam and Ezekiel Cheever v. Martha Corey ) [September 8, 1692] The deposition of Edward Putnum aged about 36 years and Ezekiel Cheever aged about 37 years testifieth and sayeth that wee being  often complained unto by An Putnum that goode Corie did often  appear to her and tortor her by pinching and other wayes thought  it our duty to goe to her and see what shee would say to this complaint shee being in church covenant with us. and accordingly upon the 12'th day of march about ten of the  clock we appointed to goe about the midle afternoon, and wee desired An Putnam to take good notice of what cloathes goode Corie came in that so we might see whither shee was not mistaken in the  person, and accordingly wee went to the house of Thomas Putnum before we went to goode Corie to see what An could say about  her cloathes. and shee told us that presently after we had #[spoken] told her that we would goe and talke with goode Corie shee came  and blinded her but told her that her name was Corie and that shee  should see her no more before it was night because she should not  tell us what cloathes shee had on and then shee would come again  and pay her off. then wee went both of us away from the house of Thomas Putnum to the house of Giles Corie where we found go the abovesaid  Corie all alone in her house and as soone as we came in. in a smiling manner shee sayeth I know what you are come for you are come  to talke with me about being a witch but I am none I cannot helpe  peoples talking of me Edward Putnum answered her that it was the  afflicted person that did complain of her that was the occasion of  our coming to her. she presently replied but does shee tell you what  cloathes I have on we made her no answer to this at her first asking  where upon shee asked us again with very great eagernes but does  she tell you what cloathes I have on at which questions with that  eagernes of mind. with which shee did aske made us to thinke of  what An Putnum had told us before wee went to her. #[to which]  and wee told her no shee did not for shee told us that you came and  blinded her and told her that shee should see you no more before  it was night that so shee might not tell us what cloathes you had  on. shee made but litle answer to this but seemed to smile at it as if shee had showed us a pretty trick we had a great deal of talke with her about the complaint that was  of her and how greatly the name of God and religion and thee church was dishonured by this meanes but shee seemed to be no  way conserned for any thing about it but only to stop the mouthes  of people that they might not say thus of her shee told us that shee did  not thinke that they were accused for shee said if they were wee  could not blame the devill for making witches of them for they were idle sloathfull persons and minded nothing that was good. but we  had no reason to thinke so of her for shee had made a profession of christ and rejoyced to go and hear the word of god and the like.  but we told her it was not her making an out ward profession that  would clear her from being a witch for it had often been so in the  wourld that witches had crept into the churches: much more discourse we had with her but shee made her profession a cloake to   cover all she furder told us that the devill was come down amongst  us in great rage and that God had forsaken the earth. and after much  discourse with her being to much here to be related we returned to  the house of the above said Thomas Putnum and we found that shee  had done as shee said shee would for shee came not to hurt the above  said Putnum as #[shee] Ann Putnam told us all this time but after  we were gone we understand that shee came again as shee did use to  doe before greatly afflicting of her we doe furder testifie that upon her examination shee accordeng to  what was said of her that shee would open thee eyes of the magistrates and ministers. so shee did for shee made a most clear discovery  witchcraft for by biting her lip it was observed that the afflicted #  [children] persons were bit when that was discovered then we observed that shee would #[pinch] pinch them by niping her fingers togeather and when that was discovered and her hands held then shee afflict them by working with her foot and when that was discovered then shee pressed upon the seate with her breast and mistress Pope was greatly afflicted by great pressure upon her stomack Jurat in Curia Sept. 8. 92 (Reverse) Mr Ezekell Cheevers: affimd: to the Jury of inquest: that  he saw: Martha wife of Giles Cory examined before the majestrates:  at which time he observed that the s'd Cory: some times did: bite  her lip: and when she bit her lip: Mercy Lewis and Eliza'th Hubbard and others of the afflicted persons: were bitten: also when s'd Cory: pinched her fingers to gether: then mercy lewis & elizabeth Hubbard and others were pinched: and #[when] according to: the  motions of s'd martha Coryes body: so was the afflicted persons: afflicted: this he affirmd to be true according to the best of his observation: Mr Edward Putnam affirmd the same: to the Jury of inquest that: Mr Cheevers doth. Mr Thomas Putnam affirmed the same: all upon oathe all of them Ed Putman Eliza. Cheever Edw'd Putnam & [Elz.] Cheever Deposition ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 39. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",1038,5479
SWP No. 96.2,Mary Osgood,"October 19, 1692",Recantation,"( Recantation of Mary Osgood , as Reported by Rev. Increase Mather ) [October 19, 1692] Mrs. Osgood freely and relentingly said, that the confession which she made upon her examination for witchcraft, and afterwards acknowledged before the honourable judges, was wholly false, and that she was brought to the said confession by the violent urging and unreasonable pressings that were used toward her; she asserted that she never signed to the devill’s book, was never baptised by the devill, never afflicted any of the accusers, or gave her consent for their being afflicted. Being asked, why she prefixed a time and spake of her being baptised, &c.: about twelve years since; she replyed, and said, that when she had owned the thing, they asked the time; to which she answered, that she knew not the time; but being told that she did know the time and must tell the time, and the like; she considered that about twelve years before (when she had her last child) she had a fitt of sicknesse, and was melancholy; and so thought that that time might be as proper a time to mention as any, and accordingly did prefix the said time. Being asked about the cat, in the shape of which she had confessed the devill appeared to her, &c. she replyed, that being told that the devill had appeared to her, and must needs appear to her, &c. (she being a witch) she at length did own that the devill had appeared to her; and being press’d to say in what creature’s shape he appeared in, she at length did say, that it was in the shape of a cat; remembering that some time before her being apprehended, as she went out at her door, she saw a cat, &c.: not as though she any whitt suspected the said cat to be the devill in the day of *** but because some creature she must mention, and this came thus into her mind at that time. ( Collections of the Massachusetts Historical Society, Boston, MA., 2nd ser., vol. 3 (Boston: John Eliot, 1815), pp. 222. )",355,1937
SWP No. 22.25,"George Burroughs Executed, August 19, 1692","June 1, 1692",Deposition,"( Deposition of Abigail Hobbs , Deliverance Hobbs & Mary Warren v. George Burroughs , Sarah Good , Sarah Osburn , Bridget Bishop , Giles Cory , Rebecca Nurse , Elizabeth Procter , Alice Parker , Ann Pudeator Abigail Soames , John Procter ,& Lydia Dustin [June 1, 1692 ] 1st June 1692 Abigaile Hobbs then confessed before John Hathorn & Jonathan cor- win Esq'rs That at the generall meeting of the Witches in the feild  near Mr Parrisse's house she saw Mr George Burroughs , Sarah Good Sarah Osborne Bridgett Bishop a[lbar ]s. Olliver & Giles Cory , two or  three nights agone, Mr Burrough came & sat at the window & told  her he would terribly afflict her for saying so much ag't him & then  pinched her, deliverance Hobbs then saw s'd Burroughs & he would  have tempted her to sett her hand to the book & almost shooke  her to pieces because she would not doe it, Mary Warren Testifyeth that when she was in prison in Salem about a fortnight agone Mr George Burroughs , Goody Nurse Goody procter ,   Goody parker, Goody pudeator , Abigail Soames , Goodman procter , Goody Darling [Dowing?] & others unknowne came to this depon't  & Mr Burroughs had a trumpett & sounded it, & they would have  had this depon't to have gone up with them to a feast at Mr parris- ses & Goody Nurse & Goody procter told her this depon't they were Deacons & would have had her eat some of their sweet bread & wine  & she asking them what wine that was one of them said it was blood & better then our wine but this depon't refused to eat or drink with  them & they then dreadfully afflicted her at that tyme. Sworne the first of June 1692 at that time                Before us *John Hathorne *Jonathan Corwin { Assis'ts M[emoran]d[um]. that at the time of the taking of this deposicon Goody Nurse appeared in the roome & afflicted the Depon't Mary & Deliverance Hobbs as they attested & alsoe almost Choaked abigaile Hobbs as alsoe testified, & Mr English then run a pin into Maryes hand as she  attested ( Witchcraft Papers, no. 6, Massachusetts Historical Society, Boston, MA. )",378,2059
SWP No. 24.4,"Martha Carrier Executed, August 19, 1692","July 1, 1692",Indictment,"(Indictment No. 1 of Martha Carrier , for Afflciting Mary Walcott) [+ July 1, 1692 ] Anno Regis et Reginae Willm  et Mariae Nunc Angliae &c Quarto./ Essex ss The Jurors: for our Sovereigne Lord & Lady the King and  Queen pr'sents that #[Bridgett] Martha Carrier wife of #(Richard) Thomas Carrier of Andover in the County of Essex husbandman the  thirty first Day of May -- in the fourth Year of the Reigne of our Sovereigne Lord and Lady William and Mary by the Grace of God of England Scottland france and Ireland King, and Queen Defenders of the faith &c and divers other Dayes and times as well before, as  after, certaine Detestable Arts called Witchcrafts and Sorceries, Wickedly and feloniously hath Used. Practised. and Exercised, at and within the Towneship of Salem in the County of Essex afores'd in, Upon, and against, one Mary Walcott of Salem Village Singlewoman in the County of Essex afores'd by which said wicked Arts the said Mary Walcott the thirty first Day of May -- in the fourth year above said and divers other Dayes and times, as well before, as  after, was and is Tortured, Afflicted, Pined, Consumed wasted  & Tromented ag't the Peace of our Sovereigne Lord and Lady the King and Queen and against the forme ofthe Statute in that case made and Provided./ Witnesses Ju't Mary Walcott Jur't Elizabeth Hubbard Ann Putman (Reverse) Martha Carrier (No 1) bila uera No 1. Martha. Carier ( Witchcraft Papers, no. 15, Massachusetts Historical Society, Boston, MA.)",255,1482
SWP No. 107.4,"John Proctor Executed, August 19, 1692","June 30, 1692",Indictment,"(Indictment No. 3 of John Proctor , for Afflicting Mary Warren) [+ June 30, 1692] Anno Regis et Reginae Willm et Mariae nunc Angliae &c Quarto Essex. ss. The Jurors for our Sovereigne Lord and Lady the King and Queen pr'sents That John Procter of Salem in the County of Essex husbandman the 26'th Day of March in the fourth Year of the Reigne of our Sovereigne Lord & Lady William & Mary by the Grace of God of England Scottland France and Ireland King and Queen Defenders of the faith &c and Divers other Dayes and times as well before as after certaine Detestable Arts called Witchcrafts and Sorceries Wickedly and felloniously hath used, Practised and Excercised at, and within the Township of Salem in the County of Essex afores'd in, Upon & ag't one Mary Warren of Salem in the County of Essex Singlewoman -- by which said wicked arts the said Mary Warren the Twenty Sixth Day of March in the fourth Year abovesaid and Divers other Dayes & times as well before, as after, was and is Tortured, Afflicted, Pined: Consumed, wasted and Tormented, ag't the Peace of our Sovereigne Lord & Lady the King and Queen and agt. the form of the Statute in that case made and Provided Witnesses Mary Warren Jurat. Mary Walcott Jurat. (Reverse) bil a vera No. 3. Jno Procter Ind't up'n M: Wa: ( Essex County Court Archives, Salem -- Witchcraft Vol. 1 No. 44, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",257,1449
SWP No. 62.6,Dorothy Good,"December 10, 1692",Recognizance,"(Recognizance for Dorothy Good ) [December 10, 1692] Memorandum That on the Tenth day of December 1692 Samuel Ray of Salem. appeared before me Underwritten One of the Councill for their Maj:tis Province of the Massachusets Bay in New England and acknowledged himselfe Indebted unto Our Soveraign Lord & Lady the king & Queen the Sume of fifty pounds Currant Money of New: England on the Condition hereafter Named -- Vid't: That Dorothy Good Daughter of William Good of Salem Labourer being Imprisoned on Suspicion of her being Guilty of the Crime of Witchcraft & being Now Let to Bail. that if the Said Dorothy Good Shall appear at the Next assize & Gener'll Goal Delivery to be holden at Salem & abide the Courts Judgment then the above Recognisance to be void Else to remain in force & vertue (Reverse) Recog'ce not copied ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 185, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts Statte Archive, MA. )",167,985
SWP No. 22.34,"George Burroughs Executed, August 19, 1692","August 3, 1692",Fragment,"(Fragment of a statement of Richard Carrier , Mary Lacey & Mary Lacey, Jr. vs. George Burroughs) [August 3, 1692] Richard Carrier affirmed to the jury that he saw Mr. George Burroughs at the witch meeting at the village and saw him adminster the sacrament. Mary Lacy, senr. And her daughter Mary affirmed that Mr. George Burroughs was at the witch meetings and witch sacraments, and that she knows Mr. Burroughs to be of the company of witches. Aug. 3, 1692. Thomas Hutchinson,The History of the Colony and Province of Massachusetts-Bay (1767.) Cambridge: Harvard University Press, 1936, vol. II, p. 42.",101,603
SWP No. 94.33,"Rebecca Nurse Executed July 19, 1692","July 4, 1692",Appeal,"( Appeal of Rebecca Nurse ) [+ July 4, 1692  ] These presents do humbly shew, to the honoured Court and Jury, that I being informed, that the Jury brought me in Guilty, upon my saying that Goodwife Hobbs and her Daughter were of our Company; but I intended no otherways, then as they were Prisoners with us, and therefore did then, and yet do judge them not legal Evidence against their fellow Prisoners. And I being something hard of hearing, and full of grief, none informing me how the Court took up my words, and therefore had not opportunity to declare what I intended, when I said they were of our Company. Rebecka Nurse. ( Robert Calef . More Wonders of The Invisible World [ London, 1700 ], excerpted in Burr, ed. , Narratives of the Witchcraft Cases, p. 359 .)",142,769
SWP No. 81.6,Rebecca Jacobs,"December 6, 1692",Petition,"(Petition of Rebecca Fox for Rebeca Jacobs ) [? December 6,1692] To his Excellency S'r William Phips Kn't Govern'r & the Honourable Council now setting at Boston, the Humble Petition of Rebeccah Fox of Cambridge Showeth that whereas Rebecah Jacobs (daughter of your Humble Petitioner ) has a long time, even many Months now lyen in Prison for Witchcraft, & is well known to be a Person Craz'd Distracted & Broken in mind, Your Humble Petitioner does most humbly & earnestly seek unto Your Excellency & to Your Hon'rs for releif in this case: Your Petitioner who knows well the Condition of her poor Daughter, together with severall others of good repute and creditt are ready to offer their Oaths, that the s'd Jacobs is a Woman Craz'd, Distracted & Broken in her mind, & that She has been so these twelve Years & upwards; However for (I think) about this half Year the s'd Jacobs has lyen in Pris'n & yet remaines there attended with many sore Difficulties: Christianity & Nature do each of them oblige Your Petitioner to be very Solicitous in this matter, and altho many weighty cases do exercise Your thoughts, Yet Your Petitioner can have no rest in her mind, till such time as she has offer'd this her addresse on behalf of her daughter: Some have dyed already in Prison, and others have been dangerously sick, & how soon Others, & among them my Poor Child, by the Difficulties of this Confinem't may be sick & dye, G'd only knows: She is uncapable of making that shift for her self that others can do, & such are her circumstances on other accounts that Your Petitioner who is her tender Mother has many great Sorrows & almost overco[mbar ]ing burthens on her mind upon her account, but in the midst of all her p'rplexities and troubles (next to supplicating to a Good & Mercifull God) Your Petitioner has no way for help but to make this her afflicted conditi[obar ] known unto You, So not doubting but Your Excellency & Your Honours will readily hear the cries & Groans of a Poor Distressed Woman and grant what help and enlargem't You may Your Petitioner heartily beggs God's gracious presence with You and Subscribes her self in all humble manner Your Sorrowfull and Distressed Petitioner Rebeccah Fox (Reverse) Rebecca Fox her Pet'con ( Massachusetts Archives Collection, Vol. 135 No. 76, Massachusetts State Archives, Boston, MA. )",410,2343
SWP No. 22.32,"George Burroughs Executed, August 19, 1692",,Memorandum,"(Memorandum in Case of George Burroughs ) Memorand'm in mr George Burroughs Tryall besides the written Evidences that was Sworne sev'll who gave theirs by word of mouth  & Major Browne holding Out a heavy Gun w'th One hand Thomas Ruck of his sudden coming in after them & that he could tell his thoughts. Thomas Evans that he Carried Out Barrels Molossus & Meats &c  out of a Canoo whilst his mate.went to the fort for hands to help  out with them These since the execution of Mr Burro: Sarah Wilson Confess't that the night before mr Burroughs was  Executed that there was a great Meeting of the witches Nigh Sarj't Chandlers that mr Burr. was there & they had the Sac't[= sacrament]  & after they had done he tooke leave & bid them Stand to their faith, & not own any thing Martha Tyler saith the same w'th Sarah Wilson & Severall others  (on side) These Since the Execucion of Mr. Burro (Reverse) Mr. Burr ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 36. )",180,977
SWP No. 173.67,Reversal of Attainder and Restitution (1710 - 1750),"January 22, 1712",Order for Payment,"(Order of Nathaniel Gowing , for Payment, Cases of John Proctor & Elizabeth Proctor ) [January 22, 1712] Whereas the Governour and Generall Court have been pleased to grant a Considerable Sum towards Restitution to those who where Sufferers in the year 1692. & have appointed a Comittee to distribute ye Same amongs’t the [Lost]rsons [= persons] Concerned. Wherefore inasmuch as I the subscriber Married with Martha Procter one of the daughters of John Procter late of Salem deced doe Request the Gentlemen of the committee to Deliver what part and proportion May belong to Me on behalfe of my said wife, unto Capt. Ebenezar Bancroft of Lynn and his Receipt shall be your full discharge. from your Serv't. Jan'ry 21st 1711. *Nathanell Gowing ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 145. Massachusetts Supreme Judicial Court, Judicial Archives. Massachusetts State Archives, Boston, MA )",148,909
SWP No. 87.4,"Mary Lacey, Jr.","July 21, 1692",Examinations,"(Examinations of Ann Foster , Mary Lacey, Sr. , and Mary Lacey, Jr. , Second Version) [July 21, 1692. ] 21st July, ’92. Before Major Gedney, Mr. Hathorne, Mr. Corwin and Capt. Higginson. Goody Foster, you remember we have three times spoken with you, and do you now remember what you then confessed to us? Her former confession was read, which she owned to be all true. You have been engaged in very great wickedness, and some have been left to hardness of heart to deny; but it seems that God will give you more favor than others, inasmuch as you relent. But your daughter here hath confessed some things that you did not tell us of. Your daughter was with you and Goody Carrier, when you did ride upon the stick. A. I did not know it. Q. How long have you known your daughter to be engaged? A. I cannot tell, nor have I any knowledge of it at all. Q. Did you see your daughter at the meeting? A. No. Q. Did not you know your daughter to be a witch? A. No. Q. Your daughter said she was at the witches meeting, and that you yourself stood at a distance off and did not partake at that meeting; and you yourself said so also; give us a relation from the beginning until now. A. I know none of their names that were there, but only Goody Carrier. Q. Would you know their frees if you saw them? A. I (400) cannot tell. Q. Were there not two companies in the field at the same time? A. I remember no more. Mary Warren , one of the afflicted, said that Goody Carrier’s shape told her, that this Goody Foster had made her daughter a witch. Q. Do not you acknowledge that you did so about thirteen years ago? A. No, and I know no more of my daughter’s being a witch than what day I shall die upon. Q. Are you willing your daughter should make a full and free confession? A. Yes. Q. Are you willing to do so too? A. Yes. Q. You cannot expect peace of conscience without a free confession. A. If I knew any thing more, I would speak it to the utmost. Goody Lacey, the daughter, called in, began thus; Oh, mother! how do you do? We have left Christ, and the Devil hath gat hold of us. How shall I get rid of this evil one? I desire God to break my rocky heart that I may get the victory this time. Q. Goody Foster, you cannot get rid of this snare, your heart and mouth is not open. A. I did not see the Devil, I was praying to the Lord. Q. What Lord? A. To God. Q. What God do witches pray to? A. I cannot tell, the Lord help me. Q. Goody Lacey, had you no discourse with your mother in your riding? A. No, I think I had not a word. Q. Who rid foremost on that stick to the village? A. I suppose my mother. Goody Foster said that Goody Carrier was foremost. Q. Goody Lacey, how many years ago since they were baptized? A. Three or four years ago, I suppose. Q. Who baptized them? A. The old serpent. Q. How did he do it? A. He dipped their heads in the water, saying they were his, and that he had power over them. Q. Where was this? A. At Fall’s river. Q. How many were baptized that day? A. Some of the chief; I think there were six baptized. Q. Name them. A. I think they were of the higher powers. These were then removed. Mary Lacey , the grand-daughter, was brought in, and Mary Warren in a violent fit. Q. How dare you come in here, and bring the Devil with you, to afflict these poor creatures? A. I know nothing of it. Lacey laying her hand on Warren’s arm; she recovered from her fit. Q. You are here accused for practising witchcraft upon Goody Ballard ; which way do you do it? A. I cannot tell. Where is my mother that made me a witch, and I knew it not? Q. Can you look upon that maid, Mary Warren, and not hurt her? Look upon her in a friendly way. She trying so to do, struck her down with her eyes. Q. Do you acknowledge now you are a witch? A. Yes. Q. How long have you been a witch? A. Not above a week. Q. Did the Devil appear to you? A. Yes. Q. In what shape? A. In the shape of a horse. Q. What did he say to you? A. He bid me not to be afraid of any tiring, and he would not bring me out; but he has proved a liar from the beginning. Q. When was this? A. I know not; above a week. Q. Did you set your hand to the book? A. No. Q. Did he bid you worship him? A. Yes; he bid me also afflict persons. You are now in the way to obtain mercy if you will confess and repent. She said, The Lord help me. Q. Do not you desire to be saved by Christ? A. Yes. Then you must confess freely what you know in this matter. She then proceeded. I was in bed, and the Devil came to me, and bid me obey him and I should want for nothing, and he would not bring me out. Q. But how long ago? A. A little more than a year. Q. Was that the first time? A. Yes. Q. How long was you gone from your father, when you run away? A. Two days. Q. Where had you your food? A. At John Stone’s. Q. Did the Devil appear to you then, when you was abroad? A. No, but he put such thoughts in my mind as not to obey my parents. Q. Who did the (401) Devil bid you afflict? A. Timothy Swan. Richard Carrier comes often a-nights and has me to afflict persons. Q. Where do ye go? A. To Goody Ballard’s sometimes. Q. How many of you were there at a time? A. Richard Carrier and his mother, and my mother and grandmother. Upon reading over the confession so far, Goody Lacey, the mother, owned this last particular. Q. How many more witches are there in Andover? A. I know no more, but Richard Carrier. Tell all the truth. A. I cannot yet. Q. Did you use at any time to ride upon a stick or pole? A. Yes. Q. How high? A. Sometimes above the trees. Q. Your mother struck down these afflicted persons, and she confessed so far, till at last she could shake hands with them freely and do them no hurt. Be you also free and tell the truth. What sort of worship did you do the Devil? A. He bid me pray to him and serve him and said he was a god and lord to me. Q. What meetings have you been at, at the village? A. I was once there and Richard Carrier rode with me on a pole, and the Devil carried us. Q. Did not some speak to you to afflict the people there? A. Yes, the Devil. Q. Was there not a man also among you there? A. None but the Devil. Q. What shape was the Devil in then? A. He was a black man, and had a high crowned hat. Q. Your mother and your grandmother say there was a minister there. How many men did you see there? A. I saw none but Richard Carrier. Q. Did you see none else? A. There was a minister there, and I think he is now in prison. Q. Were there not two [✶] ministers there? A. Cannot tell. Q. Was there not one Mr. Burroughs there? A. Yes. ( William Frederick Poole. The Witchcraft Delusion of 1692. By Gov. Thomas Hutchinson, From an Unpublished Manuscript (An Early Draft of His History of Massachusetts) in the Massachusetts Archives. New England Historical and Genealogical Register, vol. 24: no. 4 (October 1870), pp. 399–401. )",1378,6825
SWP No. 68.5,Dorcas Hoar,"May 23, 1692",Deposition,"( Deposition of John Richards and Jos. Morgan v. Dorcas Hoar ) [May 23, 1692 ] The deposition of John Richards aged about 46 yeares saith that some time this last winter past I being required by the constabell of Beverly as one of the Jorores to understand the Reason of the untimely death of William Hoar beeing at the house of william hoar the rest of the Jury beeing their I the said Richards said to the Rest of the Jury that it was nesesary that the naked body of the deceaced shoold bee veiued and darcus hoar the wife of the decaced brake out in a very greate pashtion wringing of her hands and stamping on the floore with her feete and said you wiked wretch or wiked wretches what doe you think I have murdered my husband: and the Rest of the Jury blaming her for beeing in such a pashon and then shee was something pasified Joseph Morgan Sworn by the same Jurat in Curia Sworne-Salem Village May 23: 1692 before us. *John Hathorne ] Assists *Jonathan Corwin ] Assists (Reverse) Jno. Richard Con. Hoar & Jos. Morgan ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 208, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",216,1192
SWP No. 68.9,Dorcas Hoar,"July 2, 1692",Deposition,"(Deposition of Ann Putnam, Jr. v. Dorcas Hoar ) [July 2, 1692 ] The deposistion of Ann putnam Jun'r who testifieth and saith that on the latter end of April 1692 ther came an old woman and did most greviously torment me and tould me hir name was Hoar: but on the 2 May 1692 Darcas Hoar did most dreadfully torment me during the time of hir Examination and then I saw that it was the very same woman that tould me her name was Hoar: allso on the day of hir Examination I saw Darcas Hoar or hir Apperance most greviously torment and afflect mary wallcott Eliz: Hubbred Sarah vibber Abigail williams a#[Susannah Sheldon] and I verily beleve in my heart that Darcas Hoar is a wicth for sence she went to prison she or hir Apperanc has com to me and most greviously tormented me by biting pinching and almost choaking me to death ann putman ownid this har tistimony to be the truth one har oath before the Juriars of Inques: this 2. day of July: 1692 Jurat in Curia (Reverse) ann putman ag hoar ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 213, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",212,1158
SWP No. 78.10,"George Jacobs, Sr. Executed, August 19, 1692","August 4, 1692",Testimony,"( Testimony of John DeRich v. George Jacobs, Sr. et al.) [+ August 4, 1692] Cop[y] John Doritch aged 16 years or thereabouts Testifieth and Saith. That John Small and his wife Anne both deceased and formerly of the Towne of Salem doth both appear to this Deponent and told him that they would tare him to peices if he did not goe and Declare to Mr. Harthorne that George Jacobs senior: Did kill them: and likewise that Mary Warrens mother did appeare to this Deponent this day with a white man and told him that goodwife Parker and Oliver did kill her: and Likewise Core Procter and his wife: Sarah Procter Joseph Procter and John Procter did all afflict this deponent and do continually every day sense he hath began to be afflicted: and would have him this deponent to sett his hand to a Booke but this deponent told them he would not: Likewise Phillip English and his wife Mary doth appear to this deponent and afflict him and all the aboves'd persons Thretten to tare this Deponent in peices if he doth not Signe to a Booke: Likewise Goodwife Pease and Hobs and her daughter Abigail doth Afflict him and thretten the same: and Likewise a woman appeares to this Deponent who lives at Boston at the Uper end of the Towne whose name is Mary: she goes in black clothes hath: but one Eye: with a Crooked Neck and she saith there is none in Boston  like her, she did afflict this deponent but saith she will not any more, nor tell him her name./ Jurat all relating to the prisoner at the Barr. (Reverse) John Derick against George Jacobs Copyed ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 227, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",309,1711
SWP No. 170.30,Superior Court of Judicature: Witchcraft Trials (January - May 1693),,Case,"(Case of Susannah Post ) 1 Jury of Tryalls Thomas Burnamm ff. John Whiple John Mascoll John Ingarsoll Jacob Maning Daniel Hutchins Edward Holman Joseph Dodge Joshua Woodman John Hovey John Chandler James Baley 2'd Jury of Tryalls Capt Jno Putnam ff. Samuel Phippen John Cogswell Nath'll Browne Dan'll Needham Jerem'a Gatchel William Eliot Joseph Baly James Coffin John Robinson Sam'll Marble Thomas Leaver Susanah Post of Andover in the County of Essex Singlewoeman being Indicted by the Jurors of our Soveraigne Lord & lady the King and Queen upon their oathes by Two Severall Indictments That is to Say 1'st For that she the said Susannah Post of Andover Singlewoman about Three yeares Since in the Towne of Andover in the County of Essex aforesaid Wickedly malitiously & felloniously A Covenant with the Devill did make & Signed the Devills booke & was Baptized by the Devill & promised to Serve the Devill By which diabolicall Covenanting with the Devill in manner and forme aforesaid by the said Susannah Post made she said Susannah Post is become a Detestable witch against the peace of our Soveraigne Lord and Lady the King and Queen their Crowne [and] dignity & the Laws in that Case made & provided 2'dly For that She the said Susanah Post of Andover in the County of Essex Single woeman, on the 25'th day of Aug'st in the yeare 1692 and divers other dayes and tymes as well before as after Certaine Detestable Artes Called Witchcrafts & Sorceries wickedly Mallitiously and felloniously hath used practised at & in the towne of Salem in the County aforesaid upon and ag'st one Rose foster of Andover Single woeman By which wicked Arts the said Rose Foster the day and yeare afores'd and divers other dayes and times as well as after was and is Tortured afflicted Tormented consumed pined & wasted ag'st the peace of our Soveraigne Lord and Lady the King and Queen their Crowne and dignity and the law in Case made and provided. Upon the aforesaid indictments and each of them the said Susana Post was then and there before the Justices of our Lord and Lady the King and Queen aforesaid arraigned & upon her arraignm't She  did then and there the day and year abovesaid plead to them and each of them not Guilty and put her Selfe upon Tryall by God and her Contrey -- A Jury being called Thomas Burnham foreman and accordingly Sworne noe exception being made by the prisoner The Said Indictm'ts and each of them being read together with Evidences, & Examinations and the prisoners defence being heard, The jury went out to agree on their verdict who returning did then and there in open Court deliver [their verdict] That the said Susannah Post was not Guilty of the fellony by witchcraft for w'ch she stood indicted in and by the s'd Indictm'ts and each of them. The Court Order'd Susannah Post aforesaid To be Discharged Paying her fees. ( Records of the Superior Court of Judicature (1692/3), pp. 56 & 57, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",526,3017
